Datum;Zeit;Heimteam;Gastteam;Ort;Matches;Sätze
01.05.2025;09:00;TCHB Herren 1;STC Blau-Weiß Saarlouis 1;;3:18;6:17
03.05.2025;13:00;TCHB Herren 40 2;TC Viktoria St.Ingbert 2;;18:3;17:3
03.05.2025;13:00;TCHB Herren 55 1;TC Blau-Weiß Homburg 1;;4:17;6:16
04.05.2025;09:00;TCHB Herren 2;TC Bliestal - Blickweiler 1;;18:3;16:2
04.05.2025;09:00;TCHB Herren 1;SG Bexb/Frankh/SO NK 1;;2:19;4:16
04.05.2025;14:00;TCHB Jungen U15 1;TC Blau-Weiß St. Wendel 2;;0:14;0:12
04.05.2025;14:00;TCHB Mädchen U15 2;SG Bübingen/RCS SB 2;;3:11;2:11
07.05.2025;10:00;SG Brebach/Ommersheim  1 (Herren 65);TC Hüttigweiler 1;TC Halberg  Brebach;7:14;7:12
10.05.2025;13:00;TCHB Herren 55 1;TF 1980  Oppen 1;;0:21;1:18
10.05.2025;13:00;TCHB Herren 40 1;TC Bruchköbel;;2:7;6:14
11.05.2025;09:00;TCHB Herren 3;TC Blau-Weiß Homburg 4;;2:19;3:16
11.05.2025;09:00;TCHB Damen 1;TC Rot-Weiß Heusweiler 1;;11:10;10:8
11.05.2025;14:00;TCHB Jungen U15 1;TC Blieskastel 1;;0:14;0:12
14.05.2025;10:00;SG Brebach/Ommersheim  1 (Herren 65);TC Steinbach 1;TC Halberg  Brebach;14:7;12:8
17.05.2025;13:00;TCHB Herren 40 1;TC BW Rottweil 1897 1;;3:6;6:13
17.05.2025;13:00;TCHB Herren 55 1;TC Saarpfalz Homburg-Einöd 1;;0:21;0:18
18.05.2025;09:00;TCHB Herren 3;TZ DJK Sulzbachtal 4;;19:2;16:4
18.05.2025;09:00;TCHB Damen 1;TC Riegelsberg 1;;12:9;11:9
18.05.2025;14:00;TCHB Mädchen U15 1;TC Rotenbühl 1;;0:14;0:12
18.05.2025;14:00;TCHB Mädchen U15 2;spielfrei;;;
24.05.2025;13:00;TCHB Herren 40 3;TC Bliestal - Blickweiler 1;;0:21;0:18
25.05.2025;09:00;TCHB Herren 3;TV 66 Rohrbach, Abt.Tennis 2;;14:7;12:8
25.05.2025;09:00;TCHB Herren 1;SG WMA Nordsaar 2;;5:16;6:14
29.05.2025;09:00;TCHB Damen 2;SG Gräfinthal 1;;14:0;12:1
31.05.2025;13:00;TCHB Herren 40 3;TC Kirkel 1;;7:14;6:13
01.06.2025;09:00;TCHB Damen 1;TC Schwarz-Weiß Bous 1;;12:9;10:11
01.06.2025;09:00;TCHB Herren 1;TUS Neunkirchen,  Abt.Tennis 2;;3:18;5:17
07.06.2025;13:00;TCHB Herren 40 2;SG Gersh/Herbitzheim 2;;14:7;12:7
08.06.2025;09:00;TCHB Herren 2;1. TC Blau-Weiß Saarbrücken 1;;;
08.06.2025;09:00;TCHB Damen 2;SG Bübingen/RCS SB 1;;;
11.06.2025;10:00;SG Brebach/Ommersheim  1 (Herren 65);TC Theley 1;TC Halberg  Brebach;;
13.06.2025;10:00;SG Brebach/Ommersheim  1 (Herren 65);TC Saarpfalz Homburg-Einöd 1;TC Halberg  Brebach;;
15.06.2025;09:00;TCHB Herren 2;TC GW Bliesmengen-Bolchen 1;;;
